Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-A1,Pump,150.5,45.2,85.3
Valve-B2,Valve,120.3,38.7,72.1
Reactor-C3,Reactor,200.8,55.4,95.6
Pump-A2,Pump,145.2,43.8,83.9
Valve-B3,Valve,118.7,37.2,70.5
Reactor-C4,Reactor,195.3,52.1,92.3
Pump-A3,Pump,152.1,46.5,86.7
Valve-B4,Valve,122.9,39.4,73.8
Reactor-C5,Reactor,198.6,54.2,94.1
Pump-A4,Pump,148.3,44.6,84.5
Compressor-D1,Compressor,175.4,60.3,105.2
Compressor-D2,Compressor,172.8,58.9,103.7
Heat-Exchanger-E1,Heat Exchanger,135.6,42.1,78.4
Heat-Exchanger-E2,Heat Exchanger,138.2,43.5,79.8
Pump-A5,Pump,149.7,45.1,85.1
